Ward_ID,LGA,Ward,Population,Routing_Cells,Weighted_2SFCA_per_10000,Median_2SFCA_per_10000,Min_2SFCA_per_10000,Max_2SFCA_per_10000,Mean_Accessible_PHC_Count,Zero_Access_Population,Zero_Access_Pct,2SFCA_Rank,Low_Access_Rank,2SFCA_Quintile
KANO_W337,Nassarawa,Kawaji,127740.56569647789,18,0.6720221872197005,0.5934804406622225,0.3573573811720369,0.8655024587254382,220.4629542099923,0.0,0.0,371,114,Low
KANO_W338,Nassarawa,Tudun Murtala,88796.23459529877,7,0.611753604720081,0.6394016597809025,0.5339341677930615,0.75071002976531,209.93944479279784,0.0,0.0,400,85,Very Low
KANO_W339,Nassarawa,Tudun Wada,34267.52355480194,8,0.823812559221096,0.8265673417258936,0.75071002976531,0.9148781089385281,276.90332607674355,0.0,0.0,245,240,Moderate
KANO_W340,Rano,Lausu,25470.089806318283,49,0.7578806559182081,0.6978171280501226,0.09883322941851659,1.2070078512500113,12.71204131257865,0.0,0.0,302,183,Low
KANO_W341,Rano,Madachi,35625.957082509995,48,0.702879205809584,0.6972681771984377,0.0,1.1395528458511548,12.249068975867928,49.48986840248108,0.13891519682646605,345,140,Low
KANO_W342,Rano,Rano Dawaki,29647.277428627014,21,1.0047566791480205,1.0391498886801676,0.6004033914585685,1.1475361977206822,15.025014889311231,0.0,0.0,156,329,High
KANO_W343,Rano,Rano Sabon Gari,47958.424636125565,19,1.0873482600975273,1.0430548755185316,0.6978171280501226,1.2450188467705343,18.466496456285793,0.0,0.0,122,363,High
KANO_W344,Rano,Rurum Sabon Gari,33805.13409614563,67,0.9804291159273746,1.0061566308140302,0.32255475232543085,1.256096941634347,4.748102725517346,0.0,0.0,167,318,High
KANO_W345,Rano,Rurum Tsohon Gari,30602.616366624832,56,0.9415144979005051,0.5939251764093336,0.10205861504694076,1.3914113116863736,5.210386477405651,0.0,0.0,177,308,High
KANO_W346,Rano,Saji,25126.01541519165,54,0.48615494937337206,0.530166716800337,0.0,1.1135204683267552,3.468065579081496,3741.0451881885533,14.88913035501303,449,36,Very Low
KANO_W347,Rano,Yalwa,34560.574634075165,88,0.7155763915868739,0.6782100869107103,0.0,1.2123536977452718,5.127981414559501,358.94820070266724,1.0386059968712458,338,147,Low
KANO_W348,Rano,Zinyau,19399.24674654007,34,0.7414056352296837,0.7413518584043949,0.24588807776323796,1.0838486379946777,7.378945620489376,0.0,0.0,317,168,Low
KANO_W349,Rano,Zurgu,30004.029193639755,87,0.8008021283866722,0.8155773459437083,0.20399403716361292,1.256096941634347,7.908186768560968,0.0,0.0,263,222,Moderate
KANO_W350,Rimin Gado,Butu-Butu,22027.975883960724,44,0.9128762672540975,1.163054133548874,0.20205163540712576,1.7221274508813722,12.935281258624494,0.0,0.0,194,291,High
KANO_W351,Rimin Gado,Dawakin Gulu,2212.833703994751,11,1.1634288205719288,1.3141104144551825,0.5829081480148247,2.292291431213115,4.867649569869568,0.0,0.0,99,386,High
KANO_W352,Rimin Gado,Doka Dawa,19934.940731048584,40,1.0560490659782156,1.001044523329812,0.39870767598947054,1.5287008147353787,17.534929730729548,0.0,0.0,129,356,High
