Ward_ID,LGA,Ward,Demand_Population,Weighted_Mean_Time_Min,Pct_Within_5min,Pct_Within_10min,P90_Cell_Time_Min,Population,Weighted_2SFCA_per_10000,Mean_Accessible_PHC_Count,Zero_Access_Pct,Population_Difference,Population_2025,Supply_Underserved,Travel_Underserved,Coverage_Underserved,Underserved_Dimensions,Underserved_Class,Travel_Severity,Supply_Severity,Coverage_Severity,Population_Exposure,Planning_Priority_Score,Planning_Priority_Score_100,Planning_Priority_Class,Planning_Priority_Rank
KANO_W034,Bebeji,Damau,21675.213315963745,5.266829764519713,54.01452494444575,77.87303536007877,11.227279231464042,21675.213315963745,0.6338852674841902,5.728479334610117,0.0,0.0,21675.213315963745,True,True,True,3,Critical Underserved,0.5231082587187036,0.8443956765620275,0.7265296762188616,0.05368839435806632,0.605830158809803,60.5830158809803,Very High,25
KANO_W035,Bebeji,Durmawa,29779.589923381805,3.104172625160825,65.4488854440823,97.4319797129104,8.298461578074038,29779.589923381805,1.060543854620702,7.198620323106657,0.0,0.0,29779.589923381805,False,False,True,1,Single-Dimension Underserved,0.29613188999084705,0.6838658342540502,0.5458769326833288,0.07604490861790346,0.44877473181552296,44.8774731815523,High,145
KANO_W036,Bebeji,Gargai,21902.19045829773,1.9006592219563367,95.60843668092475,100.0,8.205132527229656,21902.19045829773,0.7925185753759206,11.007494683102262,0.0,0.0,21902.19045829773,False,False,False,0,Relatively Better Served,0.1698200965016399,0.7847100621892773,0.06938280125295782,0.05431452736805035,0.3476182900725382,34.76182900725382,Low,310
KANO_W037,Bebeji,Gwarmai,54313.49741625786,2.437268322402319,83.39536349600061,99.32395422824725,6.088839833367768,54313.49741625786,0.6334974588090387,7.575148889923969,4.532296845490804,0.0,54313.49741625786,True,False,False,1,Single-Dimension Underserved,0.22613858676480622,0.8445415891660268,0.2623385138113403,0.14372348271229649,0.4374573574066638,43.74573574066638,High,162
KANO_W038,Bebeji,Kofa,23055.134974956512,3.3135361181635905,50.349423163858695,100.0,6.072774456202936,23055.134974956512,0.6867002926268916,7.330795499710911,0.0,0.0,23055.134974956512,False,False,True,1,Single-Dimension Underserved,0.31810512121696505,0.8245240791929185,0.7844350301755663,0.057495008949309805,0.5495262214601206,54.95262214601206,Very High,49
KANO_W039,Bebeji,Kuki,24537.51567196846,4.113520457310482,67.12826680585809,84.48257493517951,10.69975560537796,24537.51567196846,0.6358570680283401,4.8177753322188765,0.0,0.0,24537.51567196846,True,True,True,3,Critical Underserved,0.40206551282695624,0.8436537886920574,0.5193441982591449,0.061584264273515814,0.5290049591831634,52.90049591831634,Very High,64
KANO_W040,Bebeji,Rahama,27304.87781572342,2.2902889892145817,79.50055864906639,98.18233030340754,8.012731120022591,27304.87781572342,0.9297152409864056,9.717450846691223,0.0,0.0,27304.87781572342,False,False,False,0,Relatively Better Served,0.21071273182097353,0.7330899618100841,0.3238729722671956,0.0692182346855475,0.39495263583609275,39.49526358360927,Moderate,234
KANO_W041,Bebeji,Ranka,34916.460077762604,6.667961624832802,43.26624159656417,80.3152618262989,17.456349686706588,34916.460077762604,0.5629661431028001,6.179919748796968,4.4503896063285175,0.0,34916.460077762604,True,True,True,3,Critical Underserved,0.6701606120367374,0.8710789221283984,0.8963430099119708,0.09021533978372923,0.6987267093059142,69.87267093059143,Very High,6
KANO_W042,Bebeji,Rantan,50408.79292225838,2.2466952123023742,85.0502845291678,96.89266937848409,8.664017420790032,50408.79292225838,0.5596412417899295,5.149186916305576,0.0,0.0,50408.79292225838,True,False,False,1,Single-Dimension Underserved,0.20613745402839734,0.8723299127319789,0.2361922308612957,0.1329520704335721,0.4343379624020068,43.43379624020068,High,164
KANO_W043,Bebeji,Tariwa,28358.65462136269,2.367362330559837,88.5427581836946,100.0,8.676693721341373,28358.65462136269,0.6654710261348982,5.411385635084659,0.0,0.0,28358.65462136269,False,False,False,0,Relatively Better Served,0.21880177507516893,0.832511568265026,0.1810142480229997,0.07212515489954598,0.40404120425484163,40.404120425484166,Moderate,223
