Ward_ID,LGA,Ward,Demand_Population,Weighted_Mean_Time_Min,Pct_Within_5min,Pct_Within_10min,P90_Cell_Time_Min,Population,Weighted_2SFCA_per_10000,Mean_Accessible_PHC_Count,Zero_Access_Pct,Population_Difference,Population_2025,Supply_Underserved,Travel_Underserved,Coverage_Underserved,Underserved_Dimensions,Underserved_Class
KANO_W202,Gwarzo,Madadi,37764.86453819275,4.313322901114514,57.85289059319872,98.5211653425536,8.211708585521508,37764.86453819275,0.8327346667965383,8.040358140645708,0.0,0.0,37764.86453819275,False,True,True,2,Compound Underserved
KANO_W203,Gwarzo,Mainika,22412.89573502541,3.3243294439552664,74.84623516728415,100.0,6.921475198323853,22412.89573502541,0.7739787029798421,11.817175164535946,0.0,0.0,22412.89573502541,False,False,False,0,Relatively Better Served
KANO_W204,Gwarzo,Sabon Birni,21694.23192834854,3.165935464500107,78.61684631509469,100.0,6.079331538726641,21694.23192834854,1.357584835716715,14.238497116595507,0.0,0.0,21694.23192834854,False,False,False,0,Relatively Better Served
KANO_W205,Gwarzo,Unguwar Tudu,42029.64623093605,3.876121668662848,69.79352028615699,100.0,8.787279710146333,42029.64623093605,0.7709387662929097,13.256406919362476,0.0,0.0,42029.64623093605,False,True,False,1,Single-Dimension Underserved
KANO_W206,Kabo,Dugabau,20947.9741666317,3.2662006578923704,76.35969946649978,99.57014483469398,8.489928745061821,20947.9741666317,0.5300516374543411,3.95834547507309,0.0,0.0,20947.9741666317,True,False,False,1,Single-Dimension Underserved
KANO_W207,Kabo,Durun,16994.924002170563,2.1263490918541628,74.87152102830797,100.0,5.735944986637634,16994.924002170563,1.4072371483475463,10.629543614549734,0.0,0.0,16994.924002170563,False,False,False,0,Relatively Better Served
KANO_W208,Kabo,Gammo,23415.953518867493,4.016946375886188,59.42013595948932,98.65193256211604,7.822839443600212,23415.953518867493,0.7857680669815689,8.81342977506347,0.0,0.0,23415.953518867493,False,True,True,2,Compound Underserved
KANO_W209,Kabo,Garo,68251.44174146652,1.5975994166762912,99.97710030760705,100.0,4.465532957470156,68251.44174146652,1.3344496154244163,22.397233108995152,0.0,0.0,68251.44174146652,False,False,False,0,Relatively Better Served
KANO_W210,Kabo,Godiya,47544.99382448197,3.287928775120342,73.82401422536924,100.0,6.150791770602165,47544.99382448197,1.0405033956777336,16.824721288344705,0.0,0.0,47544.99382448197,False,False,False,0,Relatively Better Served
KANO_W211,Kabo,Gude,26724.13530445099,1.580015160705014,94.348126449867,100.0,5.191615096180145,26724.13530445099,1.034611238676984,16.216448881364624,0.0,0.0,26724.13530445099,False,False,False,0,Relatively Better Served
KANO_W212,Kabo,Hawadin Galadima,12261.558168411257,2.582655045321691,86.21794775425458,100.0,5.253594546297628,12261.558168411257,1.4442519528043714,9.553503396075335,0.0,0.0,12261.558168411257,False,False,False,0,Relatively Better Served
KANO_W213,Kabo,Kabo,39269.683455228806,2.0194363347647526,89.90840517682842,100.0,6.220498551055326,39269.683455228806,2.226283440149577,19.45637688719196,0.0,0.0,39269.683455228806,False,False,False,0,Relatively Better Served
KANO_W214,Kabo,Kanwa,18964.09841442108,2.759671562810221,79.90264608177787,100.0,7.05023131894499,18964.09841442108,1.0900306528302832,11.077281332672404,0.0,0.0,18964.09841442108,False,False,False,0,Relatively Better Served
KANO_W215,Kabo,Masanawa,17363.239748954773,4.155760033051587,66.00591864869465,97.71941975852816,9.143812238118478,17363.239748954773,0.4422343067347425,3.1171514341451374,0.0,0.0,17363.239748954773,True,True,True,3,Critical Underserved
KANO_W216,Kano Municipal,Chedi,17088.220916748047,0.5049985899413698,100.0,100.0,0.5206483656355446,17088.220916748047,0.8420750977190484,290.7265858904605,0.0,0.0,17088.220916748047,False,False,False,0,Relatively Better Served
KANO_W217,Kano Municipal,Dan Agundi,13177.07901120186,1.0898483461034332,100.0,100.0,1.5569676372560417,13177.07901120186,0.8180613447818463,286.8395906563869,0.0,0.0,13177.07901120186,False,False,False,0,Relatively Better Served
KANO_W218,Kano Municipal,Gandu Albasa,63552.255291461945,1.316916913869462,100.0,100.0,1.7164598924509626,63552.255291461945,0.7403553076466246,268.5206354220611,0.0,0.0,63552.255291461945,False,False,False,0,Relatively Better Served
KANO_W219,Kano Municipal,Jakara,10346.181594848633,0.305647897588552,100.0,100.0,0.6729742143869926,10346.181594848633,0.83648573483416,288.1525934832307,0.0,0.0,10346.181594848633,False,False,False,0,Relatively Better Served
KANO_W220,Kano Municipal,Kan Karofi,22157.384843349457,0.9454757687393104,100.0,100.0,1.217056764768005,22157.384843349457,0.8396647013906963,291.0495022610693,0.0,0.0,22157.384843349457,False,False,False,0,Relatively Better Served
KANO_W221,Kano Municipal,Shahuchi,15298.19793319702,0.5230274571225048,100.0,100.0,0.5230274571225048,15298.19793319702,0.8515359458455665,293.0,0.0,0.0,15298.19793319702,False,False,False,0,Relatively Better Served
KANO_W222,Kano Municipal,Sharada,59435.54341816902,1.2489655143458782,100.0,100.0,1.6470782775421762,59435.54341816902,0.7486892468932581,267.65552101914875,0.0,0.0,59435.54341816902,False,False,False,0,Relatively Better Served
KANO_W223,Kano Municipal,She She,10644.321807861328,0.5834088068868601,100.0,100.0,0.697070514890714,10644.321807861328,0.8365969955186175,289.8775994007015,0.0,0.0,10644.321807861328,False,False,False,0,Relatively Better Served
KANO_W224,Kano Municipal,Tudun Nufawa,9268.949157714844,0.6065385307712314,100.0,100.0,0.658394279831112,9268.949157714844,0.8204398027297942,286.2579167670947,0.0,0.0,9268.949157714844,False,False,False,0,Relatively Better Served
KANO_W225,Kano Municipal,Tudun Wazurchi,23992.487313985825,0.3899151201342838,100.0,100.0,0.9055381695738932,23992.487313985825,0.8585179814300966,294.4964798261434,0.0,0.0,23992.487313985825,False,False,False,0,Relatively Better Served
KANO_W226,Kano Municipal,Yakasai,27750.157355308533,0.7948265402959647,100.0,100.0,1.1745511597755844,27750.157355308533,0.8442032104928738,292.0169662603287,0.0,0.0,27750.157355308533,False,False,False,0,Relatively Better Served
KANO_W227,Kano Municipal,Zaitawa,28596.736989974976,0.506887143119296,100.0,100.0,0.5421035448510805,28596.736989974976,0.8464460397082177,291.23471902221803,0.0,0.0,28596.736989974976,False,False,False,0,Relatively Better Served
KANO_W228,Kano Municipal,Zango,18466.421295166016,0.6724302456090225,100.0,100.0,0.755523570825783,18466.421295166016,0.8463051967273023,292.0939629507817,0.0,0.0,18466.421295166016,False,False,False,0,Relatively Better Served
KANO_W229,Karaye,Daura,20978.516822338104,2.617968969953562,89.80860268145548,99.74510780555455,5.96659778787124,20978.516822338104,1.3162663699052526,14.57121470285215,0.0,0.0,20978.516822338104,False,False,False,0,Relatively Better Served
KANO_W230,Karaye,Kafin Dabga,23176.963044166565,4.262352841283525,59.65811835063819,99.70749874525988,7.910278631900051,23176.963044166565,0.991471227447916,8.64488332382257,0.0,0.0,23176.963044166565,False,True,True,2,Compound Underserved
KANO_W231,Karaye,Kurugu,20579.93715000153,1.3233415866958624,94.77891451716091,100.0,3.1807031877498173,20579.93715000153,1.3359529185757373,17.37202414961239,0.0,0.0,20579.93715000153,False,False,False,0,Relatively Better Served
KANO_W232,Karaye,Kwanyawa,28291.342821121216,3.117662680121677,84.61935180610428,99.29775735834713,6.101656814425015,28291.342821121216,1.3008870835028428,9.106111071608035,0.0,0.0,28291.342821121216,False,False,False,0,Relatively Better Served
KANO_W233,Karaye,Magaji Hajji,24853.62136054039,1.9018634847417704,99.0118481707439,100.0,5.181650307463969,24853.62136054039,1.4718210483556218,20.663263142491967,0.0,0.0,24853.62136054039,False,False,False,0,Relatively Better Served
KANO_W234,Karaye,Magajin Gari,33174.80266427994,0.734337107669772,100.0,100.0,1.7816223665546622,33174.80266427994,1.4612347019630745,21.38687565371293,0.0,0.0,33174.80266427994,False,False,False,0,Relatively Better Served
KANO_W235,Karaye,Tudun Kaya,23715.160064458847,5.156542930296814,42.06213965189736,83.60404836832099,8.185859560531044,23715.160064458847,0.9551221921488924,6.752113967527136,0.0,0.0,23715.160064458847,False,True,True,2,Compound Underserved
KANO_W236,Karaye,Turawa,32651.643099546432,2.707447733347232,80.99641192779985,97.91179023606573,7.636195745931743,32651.643099546432,0.6854623812974316,8.125006169207493,0.0,0.0,32651.643099546432,False,False,False,0,Relatively Better Served
KANO_W237,Karaye,Yammedi,20860.11385035515,2.848343694266651,83.96274674038517,100.0,7.311276387424757,20860.11385035515,1.298034716743698,12.88381766996053,0.0,0.0,20860.11385035515,False,False,False,0,Relatively Better Served
KANO_W238,Karaye,Yola,11230.604593515396,2.907299026030519,75.17601260908779,100.0,6.293243983650756,11230.604593515396,1.0338814366200049,8.783004105182872,0.0,0.0,11230.604593515396,False,False,False,0,Relatively Better Served
KANO_W239,Kibiya,Durba,14227.265533208849,1.98412949622948,91.70261970826996,100.0,5.2517540803555525,14227.265533208849,1.4477542097536236,14.17204818143231,0.0,0.0,14227.265533208849,False,False,False,0,Relatively Better Served
KANO_W240,Kibiya,Fammar,21177.797415733337,3.184884353657493,70.63257024059342,99.14163630645632,8.599915373686258,21177.797415733337,1.049695409183368,8.365964847560859,0.0,0.0,21177.797415733337,False,False,False,0,Relatively Better Served
KANO_W241,Kibiya,Fassi,48668.62436294556,4.8607418745575846,57.4938821846546,86.03288730113475,12.365532221595211,48668.62436294556,0.6681164207351673,5.9527495122100165,0.0,0.0,48668.62436294556,False,True,True,2,Compound Underserved
KANO_W242,Kibiya,Kadigawa,9896.152205228806,2.599905251773249,86.1881906138678,99.51200948841606,5.387841115375904,9896.152205228806,1.2301309559280245,9.503436562089256,0.0,0.0,9896.152205228806,False,False,False,0,Relatively Better Served
KANO_W243,Kibiya,Kahu,41642.98987603188,4.385556582354547,58.57474602599866,96.94525420942747,9.056322345220494,41642.98987603188,0.7211458662069419,10.061315540350098,0.0,0.0,41642.98987603188,False,True,True,2,Compound Underserved
KANO_W244,Kibiya,Kibiya 1,25239.913744449612,2.234563529906256,80.71937072310487,100.0,4.115308375052606,25239.913744449612,1.34398931227781,18.90790125407745,0.0,0.0,25239.913744449612,False,False,False,0,Relatively Better Served
