Ward_ID,LGA,Ward,Demand_Population,Routing_Cells,Weighted_Mean_Time_Min,Median_Cell_Time_Min,P90_Cell_Time_Min,Max_Time_Min,Pop_Within_5min,Pct_Within_5min,Pop_Within_10min,Pct_Within_10min,Pop_Within_15min,Pct_Within_15min,Pop_Within_30min,Pct_Within_30min,Ward_Raster_Population,Population_Difference,Population_Difference_Pct,Poor_Access_Rank
KANO_W065,Bunkure,Sanda,35920.06992530823,62,2.5500009723358454,2.1163876387173453,7.964148530901514,14.771399509741679,29897.15815091133,83.23246088629318,34569.22246956825,96.23929614126891,35920.06992530823,100.0,35920.06992530823,100.0,35920.06992530823,0.0,0.0,232
KANO_W066,Dala,Adakawa,19510.984001159668,4,0.4038577688266184,0.48999745832482966,0.5844511823828717,0.6209717424385726,19510.984001159668,100.0,19510.984001159668,100.0,19510.984001159668,100.0,19510.984001159668,100.0,19510.984001159668,0.0,0.0,477
KANO_W067,Dala,Bakin Ruwa,20582.47504425049,3,0.5896157272131474,0.5666782394572916,0.6864625538278704,0.716408632420515,20582.47504425049,100.0,20582.47504425049,100.0,20582.47504425049,100.0,20582.47504425049,100.0,20582.47504425049,0.0,0.0,463
KANO_W068,Dala,Dala,13835.651345729828,4,0.31224247211395106,0.8403387114428715,1.6449559020091102,1.8957774255356556,13835.651345729828,100.0,13835.651345729828,100.0,13835.651345729828,100.0,13835.651345729828,100.0,13835.651345729828,0.0,0.0,482
KANO_W069,Dala,Dogon Nama,17537.00440311432,5,0.5784573258417293,0.716408632420515,0.9533334529919647,1.0597056804471705,17537.00440311432,100.0,17537.00440311432,100.0,17537.00440311432,100.0,17537.00440311432,100.0,17537.00440311432,0.0,0.0,466
KANO_W070,Dala,Gobirawa,202097.43734645844,14,1.0967643673678646,1.2315066950145472,1.6592399990766817,2.2537830089254216,202097.43734645844,100.0,202097.43734645844,100.0,202097.43734645844,100.0,202097.43734645844,100.0,202097.43734645844,0.0,0.0,417
KANO_W071,Dala,Gwammaja,45086.135810136795,8,1.0702520728251765,1.4462394732748831,1.9974354889244523,2.2346376368316445,45086.135810136795,100.0,45086.135810136795,100.0,45086.135810136795,100.0,45086.135810136795,100.0,45086.1358101368,-7.275957614183426e-12,-1.613790466502467e-14,423
KANO_W072,Dala,Kabuwaya,7177.064601182938,2,0.7203352750571218,1.258374583987114,1.7682968572259474,1.8957774255356556,7177.064601182938,100.0,7177.064601182938,100.0,7177.064601182938,100.0,7177.064601182938,100.0,7177.064601182938,0.0,0.0,454
KANO_W073,Dala,Kantudu,7311.206146240234,2,0.35203807442790763,0.44972648584469027,0.5867226911197961,0.6209717424385726,7311.206146240234,100.0,7311.206146240234,100.0,7311.206146240234,100.0,7311.206146240234,100.0,7311.206146240234,0.0,0.0,480
KANO_W074,Dala,Kofar Mazugal,15307.040576696396,3,0.5261978344370466,0.6209717424385726,1.0386066820872102,1.1430154169993696,15307.040576696396,100.0,15307.040576696396,100.0,15307.040576696396,100.0,15307.040576696396,100.0,15307.040576696396,0.0,0.0,471
