Demand_ID,Grid_Row,Grid_Col,Demand_Cell_Population,Nearest_Node,Snap_Distance_m,Snap_Quality,Demand_Node,Accessible_PHC_Nodes,Accessible_PHC_Count,TwoSFCA_per_Person,Mean_PHC_Travel_Time_Min,Min_PHC_Travel_Time_Min,Max_PHC_Travel_Time_Min,TwoSFCA_per_10000,TwoSFCA_Class,Travel_Time_Min,Ward_ID,LGA,Ward,Planning_Priority_Rank,Planning_Priority_Score_100,Facility_ID,facility_name,Nearest_Existing_PHC_m,Population_Score,Supply_Deficit_Score,Travel_Deficit_Score,PHC_Separation_Score,Ward_Priority_Score,Candidate_Score,Candidate_Score_100,Candidate_Rank,Scenario_Shortlist
KANO_DMD_15153,143,106,226.96349620819092,5285170695,372.9392941646645,Good,,0.0,0.0,0.0,,,,0.0,Very Low,16.406041772051957,KANO_W440,Tudun Wada,Dalawa,47,55.16812465524092,KANO_PHC_0575,Gazobi Health Post,4270.301745212691,0.0116757976265591,1.0,0.4814408063629681,0.22893997776266406,0.21137254776561915,0.4052691520015229,40.52691520015229,34,Reserve
KANO_DMD_11771,115,58,959.8664245605469,8343520787,909.2836412243697,Moderate,,0.0,0.0,0.0,,,,0.0,Very Low,19.13140005008038,KANO_W252,Kiru,Bauda,97,49.07981331743825,KANO_PHC_0778,Bauda Health Clinic,3409.0807197199047,0.04977133412602839,1.0,0.5614173604417942,0.18240317655991334,0.0,0.4045753488101544,40.45753488101544,35,Reserve
KANO_DMD_06557,75,125,226.6827154159546,2852568081,180.04866375561576,Excellent,,0.0,0.0,0.0,,,,0.0,Very Low,16.044868584685165,KANO_W464,Warawa,Imawa,57,53.469691081496805,KANO_PHC_0091,Imawa (Wra) Health Post,4405.102125679273,0.011661202931265638,1.0,0.47084205786662053,0.23622402950099572,0.15240673413123837,0.39834105029097705,39.83410502909771,36,Reserve
KANO_DMD_09539,99,67,997.7001943588257,2823405517,649.6691249631555,Moderate,2823405517.0,1.0,1.0,1.2929945776063124e-05,14.25050530162754,14.25050530162754,14.25050530162754,0.12929945776063123,Very Low,14.25050530162754,KANO_W034,Bebeji,Damau,25,60.5830158809803,KANO_PHC_1411,Baguda Health Clinic,2898.2026860984597,0.05173789436546288,0.9434648598343331,0.418185864623531,0.15479745307459822,0.3993654559389567,0.39818091974801373,39.818091974801376,37,Reserve
KANO_DMD_13683,128,106,2183.474937915802,2766849579,358.64397374194584,Good,2766849579.0,3.0,3.0,2.4802897987817132e-05,12.26411632673454,11.71154624165472,12.83018531348048,0.24802897987817132,Very Low,11.71154624165472,KANO_W241,Kibiya,Fassi,32,58.87117124237618,KANO_PHC_1000,Kahu Health Post,4314.770432996729,0.11337323961490367,0.8915513383782397,0.3436792582074611,0.23134288064345343,0.3399340401383222,0.39433049423087346,39.43304942308735,38,Reserve
KANO_DMD_11996,116,136,5097.0103442668915,4087856234,100.73637805870462,Excellent,4087856234.0,2.0,2.0,1.5194385408541999e-05,8.318468457048347,6.574783607351552,10.062153306745143,0.15194385408542,Very Low,6.574783607351552,KANO_W384,Sumaila,Garfa,29,59.25426308272604,KANO_PHC_0817,Garfa Health Post,490.345676336395,0.26481579786019194,0.9335637810335322,0.19293923333644253,0.02468687788998712,0.3532341317121862,0.39044997613844584,39.044997613844586,39,Reserve
KANO_DMD_11561,113,169,912.621030330658,2855804738,262.950986508442,Good,2855804738.0,4.0,4.0,2.1931106185943953e-05,12.930541051416558,10.909522364548003,14.910369893514188,0.21931106185943952,Very Low,10.909522364548005,KANO_W017,Albasu,Gagarame,16,64.00581550000713,KANO_PHC_0827,Tsangaya Health Clinic,4248.989999258342,0.047315567378905715,0.9041080153247186,0.32014359814505733,0.22778837967645438,0.5181974005986734,0.39023839068519833,39.023839068519834,40,Reserve
KANO_DMD_12388,119,47,36.07302188873291,2972816523,2491.69622483821,Very Poor,,0.0,0.0,0.0,,,,0.0,Very Low,17.488537894184756,KANO_W254,Kiru,Dansoshiya,91,49.75822276632838,KANO_PHC_0233,Dansoshiya Health Post,3901.8030197060816,0.0017535081247470135,1.0,0.513207018662403,0.2090278397345015,0.02355285820385287,0.3868769179504652,38.68769179504652,41,Reserve
KANO_DMD_04888,63,119,10712.390019416809,3725045083,29.709422943414502,Excellent,3725045083.0,18.0,18.0,6.0075403483670435e-05,10.322941839173858,0.8468832201318623,14.938254394318916,0.6007540348367043,Low,0.8468832201318623,KANO_W184,Gezawa,Wangara,41,56.1675339046676,KANO_PHC_0807,Wangara Primary Health Center,450.7921222299269,0.5566974278790113,0.7373251663014773,0.024852072551108436,0.022549568384263297,0.24606980084467783,0.3843003497914016,38.43003497914016,42,Reserve
KANO_DMD_09962,102,124,1242.8734970092773,9022998224,395.38293677906125,Good,9022998224.0,2.0,2.0,2.6865432699689075e-05,12.058044606752311,10.112140293274129,14.003948920230494,0.26865432699689074,Very Low,10.112140293274129,KANO_W152,Garko,Raba,12,66.38163401589856,KANO_PHC_0941,Garko Primary Health Center,2937.754875743221,0.06448174916327772,0.8825330724820206,0.2967441534339365,0.15693468885048809,0.6006805038550099,0.38293487726935,38.293487726935,43,Reserve
